"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2022-04-03T17:46:42.319+09:00"
"RESULT_INF"
"TOTAL_NUMBER","324"
"FROM_NUMBER","1"
"TO_NUMBER","324"
"TABLE_INF","0003443838"
"STAT_NAME","00200524","人口推計"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","人口推計 各月1日現在人口 概算値"
"TITLE","001","概算値 年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-"
"CYCLE","月次"
"SURVEY_DATE","0"
"OPEN_DATE","2022-03-22"
"SMALL_AREA","0"
"COLLECT_AREA","全国"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","324"
"UPDATED_DATE","2022-03-22"
"STATISTICS_NAME_SPEC","人口推計","各月1日現在人口","概算値","","",""
"TITLE_SPEC","概算値","年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-","","","",""
"NOTE","***","　"
"NOTE","-","該当数値がないもの　"
"VALUE"
"tab_code","表章項目","cat01_code","人口","cat02_code","男女別","cat03_code","年齢5歳階級","cat04_code","概算値","area_code","全国","time_code","時間軸（年月日現在）","unit","value","annotation"
"001","人口","001","総人口","000","男女計","01000","総数","01","概算値","00000","全国","2021001212","2021年12月","万人","12547",""
"001","人口","001","総人口","000","男女計","01000","総数","01","概算値","00000","全国","2022000101","2022年1月","万人","12544",""
"001","人口","001","総人口","000","男女計","01000","総数","01","概算値","00000","全国","2022000202","2022年2月","万人","12534",""
"001","人口","001","総人口","000","男女計","01000","総数","01","概算値","00000","全国","2022000303","2022年3月","万人","12526",""
"001","人口","001","総人口","000","男女計","01001","0～4歳","01","概算値","00000","全国","2021001212","2021年12月","万人","437",""
"001","人口","001","総人口","000","男女計","01001","0～4歳","01","概算値","00000","全国","2022000101","2022年1月","万人","436",""
"001","人口","001","総人口","000","男女計","01001","0～4歳","01","概算値","00000","全国","2022000202","2022年2月","万人","435",""
"001","人口","001","総人口","000","男女計","01001","0～4歳","01","概算値","00000","全国","2022000303","2022年3月","万人","433",""
"001","人口","001","総人口","000","男女計","01002","5～9歳","01","概算値","00000","全国","2021001212","2021年12月","万人","503",""
"001","人口","001","総人口","000","男女計","01002","5～9歳","01","概算値","00000","全国","2022000101","2022年1月","万人","502",""
"001","人口","001","総人口","000","男女計","01002","5～9歳","01","概算値","00000","全国","2022000202","2022年2月","万人","501",""
"001","人口","001","総人口","000","男女計","01002","5～9歳","01","概算値","00000","全国","2022000303","2022年3月","万人","500",""
"001","人口","001","総人口","000","男女計","01003","10～14歳","01","概算値","00000","全国","2021001212","2021年12月","万人","535",""
"001","人口","001","総人口","000","男女計","01003","10～14歳","01","概算値","00000","全国","2022000101","2022年1月","万人","534",""
"001","人口","001","総人口","000","男女計","01003","10～14歳","01","概算値","00000","全国","2022000202","2022年2月","万人","534",""
"001","人口","001","総人口","000","男女計","01003","10～14歳","01","概算値","00000","全国","2022000303","2022年3月","万人","534",""
"001","人口","001","総人口","000","男女計","01004","15～19歳","01","概算値","00000","全国","2021001212","2021年12月","万人","559",""
"001","人口","001","総人口","000","男女計","01004","15～19歳","01","概算値","00000","全国","2022000101","2022年1月","万人","560",""
"001","人口","001","総人口","000","男女計","01004","15～19歳","01","概算値","00000","全国","2022000202","2022年2月","万人","559",""
